SO2
index = 1, CellArray=[5, 11] ------ [15, 11]
index = 2, CellArray=[35, 1] ------ [35, 3]
index = 3, CellArray=[36, 1] ------ [36, 3]
index = 4, CellArray=[37, 1] ------ [37, 3]
index = 5, CellArray=[38, 1] ------ [38, 3]
index = 6, CellArray=[39, 1] ------ [39, 3]
index = 7, CellArray=[40, 1] ------ [40, 3]
index = 8, CellArray=[41, 1] ------ [41, 3]
index = 9, CellArray=[42, 1] ------ [42, 3]
index = 10, CellArray=[43, 1] ------ [43, 3]
index = 11, CellArray=[44, 1] ------ [44, 3]
index = 12, CellArray=[45, 1] ------ [45, 3]
index = 13, CellArray=[35, 5] ------ [35, 6]
index = 14, CellArray=[36, 5] ------ [36, 6]
index = 15, CellArray=[37, 5] ------ [37, 6]
index = 16, CellArray=[38, 5] ------ [38, 6]
index = 17, CellArray=[39, 5] ------ [39, 6]
index = 18, CellArray=[40, 5] ------ [40, 6]
index = 19, CellArray=[41, 5] ------ [41, 6]
index = 20, CellArray=[42, 5] ------ [42, 6]
index = 21, CellArray=[43, 5] ------ [43, 6]
index = 22, CellArray=[44, 5] ------ [44, 6]
index = 23, CellArray=[45, 5] ------ [45, 6]
