Q3 FY04
index = 1, CellArray=[6, 5] ------ [7, 5]
index = 2, CellArray=[9, 5] ------ [12, 5]
index = 3, CellArray=[14, 5] ------ [17, 5]
index = 4, CellArray=[19, 5] ------ [23, 5]
index = 5, CellArray=[26, 5] ------ [28, 5]
index = 6, CellArray=[31, 1] ------ [31, 3]
index = 7, CellArray=[31, 5] ------ [35, 5]
index = 8, CellArray=[40, 5] ------ [42, 5]
index = 9, CellArray=[45, 5] ------ [46, 5]
index = 10, CellArray=[55, 5] ------ [56, 5]
index = 11, CellArray=[61, 1] ------ [61, 3]
index = 12, CellArray=[63, 1] ------ [63, 3]
index = 13, CellArray=[61, 5] ------ [63, 5]
index = 14, CellArray=[65, 1] ------ [65, 3]
index = 15, CellArray=[67, 1] ------ [67, 3]
index = 16, CellArray=[71, 5] ------ [72, 5]
index = 17, CellArray=[74, 5] ------ [77, 5]
index = 18, CellArray=[79, 5] ------ [82, 5]
index = 19, CellArray=[86, 5] ------ [88, 5]
index = 20, CellArray=[91, 5] ------ [93, 5]
index = 21, CellArray=[96, 1] ------ [96, 4]
index = 22, CellArray=[96, 5] ------ [100, 5]
index = 23, CellArray=[105, 5] ------ [107, 5]
index = 24, CellArray=[110, 5] ------ [111, 5]
index = 25, CellArray=[120, 5] ------ [121, 5]
index = 26, CellArray=[126, 1] ------ [126, 5]
index = 27, CellArray=[129, 1] ------ [129, 5]
index = 28, CellArray=[131, 1] ------ [131, 5]
index = 29, CellArray=[134, 1] ------ [134, 5]
index = 30, CellArray=[136, 1] ------ [136, 5]
index = 31, CellArray=[141, 1] ------ [141, 5]
index = 32, CellArray=[143, 1] ------ [143, 5]
index = 33, CellArray=[148, 1] ------ [148, 5]
index = 34, CellArray=[155, 5] ------ [156, 5]
index = 35, CellArray=[158, 5] ------ [161, 5]
index = 36, CellArray=[163, 5] ------ [166, 5]
index = 37, CellArray=[170, 5] ------ [172, 5]
index = 38, CellArray=[175, 5] ------ [177, 5]
index = 39, CellArray=[180, 5] ------ [184, 5]
index = 40, CellArray=[189, 5] ------ [191, 5]
index = 41, CellArray=[194, 5] ------ [195, 5]
index = 42, CellArray=[204, 5] ------ [205, 5]
index = 43, CellArray=[210, 1] ------ [210, 5]
index = 44, CellArray=[211, 5] ------ [214, 5]
index = 45, CellArray=[217, 1] ------ [217, 5]
index = 46, CellArray=[219, 1] ------ [219, 5]
index = 47, CellArray=[226, 1] ------ [226, 5]
index = 48, CellArray=[228, 1] ------ [228, 5]
index = 49, CellArray=[237, 1] ------ [237, 5]
index = 50, CellArray=[229, 5] ------ [236, 5]
index = 51, CellArray=[239, 1] ------ [239, 5]
index = 52, CellArray=[248, 1] ------ [248, 5]
index = 53, CellArray=[240, 5] ------ [247, 5]
