Data
index = 1, CellArray=[13, 1] ------ [13, 7]
index = 2, CellArray=[14, 1] ------ [14, 7]
index = 3, CellArray=[15, 1] ------ [15, 7]
index = 4, CellArray=[16, 1] ------ [16, 7]
index = 5, CellArray=[17, 1] ------ [17, 10]
index = 6, CellArray=[25, 1] ------ [25, 7]
index = 7, CellArray=[26, 1] ------ [26, 7]
index = 8, CellArray=[27, 1] ------ [27, 7]
index = 9, CellArray=[28, 1] ------ [28, 7]
index = 10, CellArray=[29, 1] ------ [29, 10]
index = 11, CellArray=[37, 1] ------ [37, 7]
index = 12, CellArray=[38, 1] ------ [38, 7]
index = 13, CellArray=[39, 1] ------ [39, 7]
index = 14, CellArray=[40, 1] ------ [40, 7]
index = 15, CellArray=[41, 1] ------ [41, 10]
index = 16, CellArray=[53, 1] ------ [53, 10]
index = 17, CellArray=[65, 1] ------ [65, 10]
index = 18, CellArray=[76, 1] ------ [76, 10]
index = 19, CellArray=[88, 1] ------ [88, 10]
index = 20, CellArray=[114, 1] ------ [114, 10]
index = 21, CellArray=[127, 1] ------ [127, 10]
index = 22, CellArray=[140, 1] ------ [140, 10]
index = 23, CellArray=[151, 1] ------ [151, 10]
