Key Financial Data
index = 1, CellArray=[19, 1] ------ [19, 5]
index = 2, CellArray=[24, 1] ------ [24, 5]
index = 3, CellArray=[33, 1] ------ [33, 5]
index = 4, CellArray=[37, 1] ------ [37, 5]
index = 5, CellArray=[39, 1] ------ [39, 5]
index = 6, CellArray=[57, 1] ------ [57, 5]
index = 7, CellArray=[53, 1] ------ [56, 1]
index = 8, CellArray=[73, 1] ------ [73, 5]
index = 9, CellArray=[78, 1] ------ [78, 5]
index = 10, CellArray=[76, 1] ------ [77, 1]
index = 11, CellArray=[100, 1] ------ [100, 5]
index = 12, CellArray=[102, 1] ------ [102, 5]
index = 13, CellArray=[107, 1] ------ [107, 5]
index = 14, CellArray=[116, 2] ------ [116, 5]
index = 15, CellArray=[114, 1] ------ [116, 1]
index = 16, CellArray=[120, 2] ------ [120, 5]
index = 17, CellArray=[118, 1] ------ [120, 1]
index = 18, CellArray=[122, 2] ------ [122, 5]
index = 19, CellArray=[140, 1] ------ [140, 5]
index = 20, CellArray=[153, 1] ------ [153, 5]
index = 21, CellArray=[154, 1] ------ [154, 5]
index = 22, CellArray=[156, 1] ------ [156, 5]
index = 23, CellArray=[161, 1] ------ [161, 5]
index = 24, CellArray=[182, 1] ------ [182, 5]
index = 25, CellArray=[184, 1] ------ [184, 5]
index = 26, CellArray=[189, 1] ------ [189, 5]
index = 27, CellArray=[198, 2] ------ [198, 5]
index = 28, CellArray=[196, 1] ------ [198, 1]
index = 29, CellArray=[202, 2] ------ [202, 5]
index = 30, CellArray=[200, 1] ------ [202, 1]
index = 31, CellArray=[204, 2] ------ [204, 5]
index = 32, CellArray=[222, 1] ------ [222, 5]
index = 33, CellArray=[235, 1] ------ [235, 5]
index = 34, CellArray=[236, 1] ------ [236, 5]
index = 35, CellArray=[238, 1] ------ [238, 5]
index = 36, CellArray=[243, 1] ------ [243, 5]
