FY 2002 
index = 1, CellArray=[16, 7] ------ [16, 14]
index = 2, CellArray=[3, 12] ------ [5, 12]
index = 3, CellArray=[22, 7] ------ [22, 14]
index = 4, CellArray=[19, 12] ------ [21, 12]
index = 5, CellArray=[26, 7] ------ [26, 14]
index = 6, CellArray=[24, 12] ------ [25, 12]
index = 7, CellArray=[33, 7] ------ [33, 14]
index = 8, CellArray=[28, 12] ------ [32, 12]
index = 9, CellArray=[37, 7] ------ [37, 14]
index = 10, CellArray=[35, 12] ------ [36, 12]
index = 11, CellArray=[44, 7] ------ [44, 10]
index = 12, CellArray=[44, 12] ------ [44, 14]
index = 13, CellArray=[41, 12] ------ [42, 12]
index = 14, CellArray=[48, 7] ------ [48, 14]
index = 15, CellArray=[46, 12] ------ [47, 12]
index = 16, CellArray=[52, 7] ------ [52, 14]
index = 17, CellArray=[50, 12] ------ [51, 12]
index = 18, CellArray=[77, 7] ------ [77, 14]
index = 19, CellArray=[56, 12] ------ [76, 12]
index = 20, CellArray=[91, 7] ------ [91, 14]
index = 21, CellArray=[81, 12] ------ [90, 12]
index = 22, CellArray=[96, 7] ------ [96, 10]
index = 23, CellArray=[96, 12] ------ [96, 14]
index = 24, CellArray=[93, 12] ------ [94, 12]
index = 25, CellArray=[100, 13] ------ [100, 14]
index = 26, CellArray=[98, 12] ------ [99, 12]
index = 27, CellArray=[105, 7] ------ [105, 14]
index = 28, CellArray=[103, 12] ------ [104, 12]
index = 29, CellArray=[123, 7] ------ [123, 14]
index = 30, CellArray=[113, 12] ------ [122, 12]
index = 31, CellArray=[135, 7] ------ [135, 10]
index = 32, CellArray=[135, 12] ------ [135, 14]
index = 33, CellArray=[125, 12] ------ [131, 12]
index = 34, CellArray=[150, 7] ------ [150, 14]
index = 35, CellArray=[137, 12] ------ [149, 12]
index = 36, CellArray=[159, 7] ------ [159, 10]
index = 37, CellArray=[159, 12] ------ [159, 14]
index = 38, CellArray=[154, 12] ------ [158, 12]
index = 39, CellArray=[168, 7] ------ [168, 10]
index = 40, CellArray=[168, 12] ------ [168, 14]
index = 41, CellArray=[163, 12] ------ [167, 12]
index = 42, CellArray=[173, 13] ------ [173, 14]
index = 43, CellArray=[170, 12] ------ [172, 12]
index = 44, CellArray=[200, 7] ------ [200, 14]
index = 45, CellArray=[175, 12] ------ [177, 12]
